year,month,nchildren,m-age-neg,m-age-pos,iqr-age-neg,iqr-age-pos,x-pd,sd-pd,mm-rf,mmP-rf,min-temp,max-temp,x-temp,preP
1996,1,93,24,24,29,35,424,552.2982,2.1,0.001571,22.1,33.3,27.75,0.45
1996,2,73,18,15.5,29,36,123,52.45982,20.9,0.015637,22.6,34.7,28.69,0.47
1996,3,127,16,24,39,58,3891,8418.887,76.0,0.056861,22.5,34.2,28.37,0.15
1996,4,191,24,33,50,42,8806,16080.54,140.9,0.105417,23.2,32.3,27.76,0.14
1996,5,249,18,36,40,46,10367,18440.19,115.1,0.086114,22.8,31.3,27.06,0.31
1996,6,232,24,48,44.5,41,53585,71583.22,102.1,0.076388,23.1,30.6,26.83,0.12
1996,7,309,36,36,60,54,11774,27087.35,227.2,0.169984,22.3,28.9,25.62,0.18
1996,8,300,30,41,57.5,42,18002,31443.48,170.6,0.127637,22.0,28.1,25.06,0.32
1996,9,257,30,36,48,46.5,15120,25823.95,333.2,0.249289,22.7,28.1,25.40,0.37
1996,10,238,24,36,50,24,17795,25123,148.3,0.110953,22.3,30.0,26.16,0.29
1996,11,66,24,24,74,43,26524,23323.19,0.1,0.000075,21.2,32.9,27.04,0.47
1996,12,160,24,36,45,55,20865,27152.62,0.1,0.000075,22.9,33.2,28.08,0.33
1997,1,191,19,24,44,40,22719,22973.94,0.6,0.000478,22.6,33.1,27.86,0.48
1997,2,176,24,54,63,74,16172,19792.2,0.1,0.000080,19.4,35.3,27.35,0.38
1997,3,173,21,15,51,51,24044,25926.22,105.5,0.084024,22.4,33.9,28.16,0.07
1997,4,269,19,30,50,40,17423,22598.4,150.9,0.120182,21.1,31.7,26.43,0.23
1997,5,349,24,30,61,52,15981,20948.02,155.1,0.123527,22.2,31.2,26.72,0.22
1997,6,354,29,42,57,59,20552,23940.64,177.3,0.141207,22.5,29.9,26.21,0.22
1997,7,405,30,36,60,51.5,18683,20395.59,71.6,0.057025,21.9,28.1,25.03,0.19
1997,8,332,24,36,48,45,16845,23015.46,96.1,0.076537,22.0,27.9,24.99,0.28
1997,9,444,30,36,48,66,20047,23750.9,195.8,0.155941,22.5,30.4,26.43,0.25
1997,10,354,24,30,48,68,16303,22655.85,261.0,0.207869,22.4,30.9,26.67,0.16
1997,11,323,24,27,36,36,16436,22072.3,38.2,0.030424,23.3,31.7,27.51,0.16
1997,12,362,24,36,55,66,13706,20290.85,3.4,0.002708,22.1,32.4,27.26,0.28
1998,1,239,24,29,60,35,25819,40317.43,1.1,0.001385,20.2,33.3,26.72,0.25
1998,2,188,30,36,60,72,9398,18965.21,2.8,0.003525,23.5,36.2,29.83,0.41
1998,3,155,19.5,36,40,41,4209,9213.605,8.0,0.010072,24.5,36.8,30.66,0.33
1998,4,114,18.5,30,28,48,9362,19439.82,54.4,0.068488,25.3,35.3,30.30,0.23
1998,5,115,18,24,35,42,5705,12301.83,82.6,0.103991,24.4,32.5,28.47,0.47
1998,6,391,18,30,39,36,16773,37156.04,158.0,0.198917,22.9,31.0,26.95,0.31
1998,7,319,21,36,39,46,24678,44801.91,71.8,0.090394,22.8,28.3,25.55,0.48
1998,8,298,24,36,60,54,24989,46477.95,50.9,0.064082,22.2,28.1,25.13,0.69
1998,9,318,24,36,39,56,23159,47032.69,143.5,0.180662,23.0,29.0,26.00,0.67
1998,10,265,19.5,36,39.5,54,13633,33913.41,178.8,0.225104,23.7,30.6,27.17,0.61
1998,11,205,24,36,64,54.5,25531,49954.16,32.2,0.040539,24.2,33.2,28.74,0.62
1998,12,98,36,36,47,60,8318,18575.47,10.2,0.012841,21.7,32.4,27.03,0.52
1999,1,271,24,36,60,42,2318,8098.083,1.0,0.000628,22.5,33.4,27.96,0.25
1999,2,146,36,42,48,48,22423,41581.86,23.6,0.014830,22.5,34.3,28.39,0.51
1999,3,207,20,18.5,39,38.5,3073,9872.165,105.3,0.066168,23.2,32.7,27.98,0.21
1999,4,104,24,30,48,72,22817,31231.68,176.8,0.111097,23.4,32.4,27.91,0.35
1999,5,149,24,18,49,36,37084,46657.93,130.6,0.082066,22.9,32.3,27.59,0.29
1999,6,164,24,36,48,66,19411,32197.21,255.7,0.160676,22.4,30.6,26.51,0.54
1999,7,177,24,30,36,48,18775,32273.48,268.0,0.168405,22.6,29.5,26.06,0.56
1999,8,239,24,30,52,24,24176,34272.93,101.3,0.063655,22.3,28.7,25.49,0.50
1999,9,222,24,36,52,30,18756,38678.94,181.4,0.113988,22.2,28.9,25.58,0.52
1999,10,247,24,24,46,33,16010,31846.83,310.7,0.195237,22.3,30.1,26.20,0.40
1999,11,232,24,36,38,36,12089,23407.47,36.9,0.023187,22.8,32.3,27.57,0.28
1999,12,222,24,27,63,36,10052,24758.62,0.1,0.000063,20.5,33.2,26.86,0.30
2000,1,211,24,27,48,60,15147,26376.61,9.9,0.007533,22.0,33.2,27.61,0.26
2000,2,195,24,42,51,72,15610,30933.99,0.1,0.000076,19.7,34.7,27.22,0.19
2000,3,83,18,19.5,41,44,10451,26618.67,97.0,0.073809,22.4,35.8,29.09,0.14
2000,4,147,24,36,51.5,48,26604,44197.9,124.5,0.094734,22.9,32.8,27.88,0.27
2000,5,297,36,48,68.5,58,30327,79066.6,88.3,0.067189,22.6,32.0,27.31,0.30
2000,6,258,24,48,58,48,17143,30585.37,165.4,0.125856,21.7,30.1,25.94,0.21
2000,7,302,24,32,45,30,20358,70667.87,233.1,0.177370,21.4,28.4,24.93,0.35
2000,8,288,24,46,50,48,21537,38623.83,253.2,0.192665,21.4,27.8,24.59,0.28
2000,9,134,36,44.5,52.5,50,36226,38001.79,236.2,0.179729,22.1,29.5,25.77,0.43
2000,10,176,24,24,38.5,29,23001,49900.72,106.3,0.080886,22.1,30.8,26.42,0.34
2000,11,196,18.5,36,39,31,14344,25873.75,0.1,0.000076,23.2,32.9,28.05,0.30
2000,12,117,24,27,39,38.5,9574,17908.69,0.1,0.000076,20.6,33.2,26.91,0.17
2001,1,170,52,58,64,71,22292,31860.94,0.1,0.000079,20.9,33.5,27.17,0.24
2001,2,184,64,60,58,60,18121,20638.51,11.9,0.009373,21.0,35.4,28.20,0.17
