Country,Year,Language,geo_point,Country Code,Debt,Account Balance,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployement,Natural Resources,Infant Mortality
Uganda,2018,0.9227,POINT(32.216658 1.533355),UGA,46.34179919,-9.339273772,26,4.869111556,2.274615022,2.61601191,0.9302,0.6332,1.741999984,13.85620466,33.8
Uganda,2019,0.9227,POINT(32.216658 1.533355),UGA,46.34179919,-9.339273772,26,4.869111556,2.274615022,2.61601191,0.9302,0.6332,1.786999941,13.85620466,33.8
Liberia,2018,0.9038,POINT(-9.365852 5.749972),LBR,44.66293589,-20.65233759,32,3.956181214,-1.229759965,23.5635149,0.9084,0.4883,2.032999992,25.20409969,53.5
Liberia,2019,0.9038,POINT(-9.365852 5.749972),LBR,44.66293589,-20.65233759,32,3.956181214,-1.229759965,23.5635149,0.9084,0.4883,2.032000065,25.20409969,53.5
Madagascar,2018,0.0204,POINT(46.441642 -18.92496),MDG,31.75824931,0.578357142,25,4.41794014,1.810248204,7.404191742,0.8791,0.5191,1.659000039,10.28492344,38.2
Madagascar,2019,0.0204,POINT(46.441642 -18.92496),MDG,31.75824931,0.578357142,25,4.41794014,1.810248204,7.404191742,0.8791,0.5191,1.644999981,10.28492344,38.2
"Congo, Dem. Rep.",2018,0.8705,POINT(15.257513 -4.441883),COD,10.94127267,-4.592797073,20,2.720115259,2.399910664,2.885851073,0.8747,0.7021,4.15500021,32.70249674,68.2
"Congo, Dem. Rep.",2019,0.8705,POINT(15.257513 -4.441883),COD,10.94127267,-4.592797073,20,2.720115259,2.399910664,2.885851073,0.8747,0.7021,4.271999836,32.70249674,68.2
"Congo, Rep.",2018,0.6871,POINT(15.641916 -0.726433),COG,51.12602449,-39.77015807,19,38.29248197,-1.549244028,0.450063823,0.8747,0.6642,10.38199997,42.66827703,36.2
"Congo, Rep.",2019,0.6871,POINT(15.641916 -0.726433),COG,51.12602449,-39.77015807,19,38.29248197,-1.549244028,0.450063823,0.8747,0.6642,10.38700008,42.66827703,36.2
Cameroon,2018,0.8898,POINT(13.153581 4.612552),CMR,28.73682449,-3.644415277,25,1.978368628,1.379191982,1.068858113,0.8635,0.7338,3.361000061,6.580438686,50.6
Cameroon,2019,0.8898,POINT(13.153581 4.612552),CMR,28.73682449,-3.644415277,25,1.978368628,1.379191982,1.068858113,0.8635,0.7338,3.339999914,6.580438686,50.6
Chad,2018,0.8635,POINT(19.015617 15.613414),TCD,29.29101662,-3.199137423,19,5.874210982,-0.415664166,3.669900434,0.862,0.6411,2.229000092,21.95567247,71.4
Chad,2019,0.8635,POINT(19.015617 15.613414),TCD,29.29101662,-3.199137423,19,5.874210982,-0.415664166,3.669900434,0.862,0.6411,2.319000006,21.95567247,71.4
Kenya,2018,0.886,POINT(38.431398 1.441968),KEN,36.14484245,-6.371804754,27,1.849566181,3.896152981,4.689819761,0.8588,0.7765,9.312999725,2.475375541,30.6
Kenya,2019,0.886,POINT(38.431398 1.441968),KEN,36.14484245,-6.371804754,27,1.849566181,3.896152981,4.689819761,0.8588,0.7765,9.305000305,2.475375541,30.6
Nigeria,2018,0.8316,POINT(7.999972 9.600036),NGA,12.41529025,1.342776438,27,0.502803407,-0.66557908,12.09473155,0.8505,0.7421,6.026000023,8.673509404,75.7
Nigeria,2019,0.8316,POINT(7.999972 9.600036),NGA,12.41529025,1.342776438,27,0.502803407,-0.66557908,12.09473155,0.8505,0.7421,6.105999947,8.673509404,75.7
Central African Republic,2018,0.8334,POINT(19.998123 7.03236),CAF,32.65035206,-2.899004627,26,0.810612496,2.224742848,37.14221481,0.8295,0.7916,6.482999802,13.5760529,84.5
Central African Republic,2019,0.8334,POINT(19.998123 7.03236),CAF,32.65035206,-2.899004627,26,0.810612496,2.224742848,37.14221481,0.8295,0.7916,6.521999836,13.5760529,84.5
Cote d'Ivoire,2018,0.7842,POINT(-5.567946 7.989737),CIV,37.91909469,-2.750068845,35,2.122573734,4.725692099,0.439062777,0.8204,0.7551,2.480000019,3.318173533,59.4
Cote d'Ivoire,2019,0.7842,POINT(-5.567946 7.989737),CIV,37.91909469,-2.750068845,35,2.122573734,4.725692099,0.439062777,0.8204,0.7551,2.444999933,3.318173533,59.4
Sierra Leone,2018,0.7634,POINT(-11.840027 8.640035),SLE,45.09463761,-15.8164604,30,5.331867768,1.259327721,16.03278985,0.8191,0.5395,4.313000202,22.15351226,78.5
Sierra Leone,2019,0.7634,POINT(-11.840027 8.640035),SLE,45.09463761,-15.8164604,30,5.331867768,1.259327721,16.03278985,0.8191,0.5395,4.329999924,22.15351226,78.5
Somalia,2018,0.0326,POINT(49.083416 8.367677),SOM,39.3544471,,10,8.663919263,-2.736255088,,0.8117,0.0028,13.95600033,15.17980948,76.6
Somalia,2019,0.0326,POINT(49.083416 8.367677),SOM,39.3544471,,10,8.663919263,-2.736255088,,0.8117,0.0028,13.95499992,15.17980948,76.6
Yugoslavia,2018,0.6064,,,,,,,,,0.8092,0.553,,,
Yugoslavia,2019,0.6064,,,,,,,,,0.8092,0.553,,,
Guinea-Bissau,2018,0.8141,POINT(-14.900021 12.100035),GNB,28.89267558,-3.710706563,16,1.409573186,1.243474147,1.362148999,0.8082,0.6128,4.05700016,16.32659839,54
Guinea-Bissau,2019,0.8141,POINT(-14.900021 12.100035),GNB,28.89267558,-3.710706563,16,1.409573186,1.243474147,1.362148999,0.8082,0.6128,4.070000172,16.32659839,54
Djibouti,2018,0.6558,POINT(42.757785 11.856775),DJI,157.6098688,-10.61135869,31,8.965083519,3.82998552,0.14797085,0.7962,0.0435,11.12199974,0.672749698,49.8
Djibouti,2019,0.6558,POINT(42.757785 11.856775),DJI,157.6098688,-10.61135869,31,8.965083519,3.82998552,0.14797085,0.7962,0.0435,11.02999973,0.672749698,49.8
Libya,2018,0.0758,POINT(18.123672 26.823447),LBY,73.84,-17.96073699,17,0,6.368240933,2.605818027,0.792,0.057,17.28700066,38.47372413,10.2
Libya,2019,0.0758,POINT(18.123672 26.823447),LBY,73.84,-17.96073699,17,0,6.368240933,2.605818027,0.792,0.057,17.29999924,38.47372413,10.2
Benin,2018,0.7905,POINT(2.258441 9.529347),BEN,35.91103589,-10.00372859,40,2.004108084,3.975183596,1.024127367,0.7872,0.5544,2.125,5.757889959,60.5
Benin,2019,0.7905,POINT(2.258441 9.529347),BEN,35.91103589,-10.00372859,40,2.004108084,3.975183596,1.024127367,0.7872,0.5544,2.025000095,5.757889959,60.5
Angola,2018,0.787,POINT(17.569124 -11.877577),AGO,53.99826311,7.000035353,19,-5.420744964,-5.287779594,20.19037379,0.7867,0.6276,7.252999783,16.35012001,51.6
Angola,2019,0.787,POINT(17.569124 -11.877577),AGO,53.99826311,7.000035353,19,-5.420744964,-5.287779594,20.19037379,0.7867,0.6276,7.245999813,16.35012001,51.6
"Gambia, The",2018,0.8076,POINT(-15.490046 13.470062),GMB,42.70920582,-4.816559763,37,2.018463805,3.453188862,6.521158804,0.7864,0.097,8.904999733,5.752880114,39
"Gambia, The",2019,0.8076,POINT(-15.490046 13.470062),GMB,42.70920582,-4.816559763,37,2.018463805,3.453188862,6.521158804,0.7864,0.097,8.897999763,5.752880114,39
Zambia,2018,0.8734,POINT(27.559916 -14.518624),ZMB,73.65672346,-1.281048668,35,1.528582968,0.815169499,7.494571927,0.7808,0.7359,7.209000111,15.94726442,40.4
Zambia,2019,0.8734,POINT(27.559916 -14.518624),ZMB,73.65672346,-1.281048668,35,1.528582968,0.815169499,7.494571927,0.7808,0.7359,7.144999981,15.94726442,40.4
Afghanistan,2018,0.6141,POINT(66.238514 33.768007),AFG,13.37101824,-18.87484323,16,0.616822256,-1.350178336,4.975951506,0.7693,0.2717,1.542000055,0.693530677,47.9
Afghanistan,2019,0.6141,POINT(66.238514 33.768007),AFG,13.37101824,-18.87484323,16,0.616822256,-1.350178336,4.975951506,0.7693,0.2717,1.519000053,0.693530677,47.9
Gabon,2018,0.7821,POINT(11.68997 -0.899969),GAB,42.96963607,0.980682965,31,5.018236442,-1.755039188,4.749066521,0.769,0.6674,19.48800087,18.40619085,32.7
Gabon,2019,0.7821,POINT(11.68997 -0.899969),GAB,42.96963607,0.980682965,31,5.018236442,-1.755039188,4.749066521,0.769,0.6674,19.6060009,18.40619085,32.7
South Africa,2018,0.8652,POINT(24.357658 -28.876689),ZAF,50.55691188,-3.634112832,43,1.485433112,-0.572080197,4.504577493,0.7517,0.8603,26.95800018,5.140270609,28.5
South Africa,2019,0.8652,POINT(24.357658 -28.876689),ZAF,50.55691188,-3.634112832,43,1.485433112,-0.572080197,4.504577493,0.7517,0.8603,27.32099915,5.140270609,28.5
Qatar,2018,0.48,POINT(51.22953 25.333698),QAT,39.76,8.701931497,62,-1.142474855,-0.584669133,0.344165322,0.7456,0.095,0.142000005,17.94662127,5.8
Qatar,2019,0.48,POINT(51.22953 25.333698),QAT,39.76,8.701931497,62,-1.142474855,-0.584669133,0.344165322,0.7456,0.095,0.144999996,17.94662127,5.8
Bolivia,2018,0.224,POINT(-64.991229 -17.05687),BOL,33.78095738,-4.938481878,29,0.633154081,2.752155942,2.272059872,0.7396,0.2085,3.257999897,6.925103236,21.8
Bolivia,2019,0.224,POINT(-64.991229 -17.05687),BOL,33.78095738,-4.938481878,29,0.633154081,2.752155942,2.272059872,0.7396,0.2085,3.266000032,6.925103236,21.8
Guinea,2018,0.7725,POINT(-10.708359 10.722623),GIN,24.63163716,-1.746550335,28,3.234189481,3.19829413,9.826042226,0.7389,0.2649,3.607000113,20.18461883,64.9
Guinea,2019,0.7725,POINT(-10.708359 10.722623),GIN,24.63163716,-1.746550335,28,3.234189481,3.19829413,9.826042226,0.7389,0.2649,3.572000027,20.18461883,64.9
Burkina Faso,2018,0.7228,POINT(-1.688031 12.075308),BFA,23.41973751,-7.250983926,41,3.398296536,3.812912022,1.864449585,0.7377,0.5798,6.059000015,19.94201849,49
Burkina Faso,2019,0.7228,POINT(-1.688031 12.075308),BFA,23.41973751,-7.250983926,41,3.398296536,3.812912022,1.864449585,0.7377,0.5798,6.149000168,19.94201849,49
Tanzania,2018,0.8983,POINT(35.787844 -6.524712),TZA,33.06317976,-3.259067235,36,1.820636914,2.11505516,3.494458489,0.7353,0.6334,1.932000041,6.616386051,37.6
