stamp,Albania,Algeria,American Samoa,Andorra,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Bermuda,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Cabo Verde,Canada,Cayman Islands,Chile,"China, Hong Kong SAR","China, Macao SAR",Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Egypt,El Salvador,Estonia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guyana,Hungary,Iceland,Iran (Islamic Republic of),Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Netherlands,New Caledonia,New Zealand,Niue,Norfolk Island,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Reunion,Romania,Russian Federation,Saint Helena ex. dep.,Saint Helena: Ascension,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Saint-Martin (French part),Samoa,San Marino,Sao Tome and Principe,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,State of Palestine,Suriname,Sweden,Switzerland,Tajikistan,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States Virgin Islands,United States of America,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of)
Jan-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,23041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6069,,,,,,,12,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,19480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5049,,,,,,,7,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,20671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5814,,,,,,,16,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,19172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5739,,,,,,,20,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,20737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5738,,,,,,,11,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,21825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620,,,,,,,10,,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,22089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,,,,,,,17,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,22534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6196,,,,,,,7,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,23374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6549,,,,,,,21,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,23375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6478,,,,,,,27,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
