stamp,Algeria
Jan-67,
Feb-67,
Mar-67,
Apr-67,
May-67,
Jun-67,
Jul-67,
Aug-67,
Sep-67,
Oct-67,
Nov-67,
Dec-67,
Jan-68,
Feb-68,
Mar-68,
Apr-68,
May-68,
Jun-68,
Jul-68,
Aug-68,
Sep-68,
Oct-68,
Nov-68,
Dec-68,
Jan-69,
Feb-69,
Mar-69,
Apr-69,
May-69,
Jun-69,
Jul-69,
Aug-69,
Sep-69,
Oct-69,
Nov-69,
Dec-69,
Jan-70,
Feb-70,
Mar-70,
Apr-70,
May-70,
Jun-70,
Jul-70,
Aug-70,
Sep-70,
Oct-70,
Nov-70,
Dec-70,
Jan-71,
Feb-71,
Mar-71,
Apr-71,
May-71,
Jun-71,
Jul-71,
Aug-71,
Sep-71,
Oct-71,
Nov-71,
Dec-71,
Jan-72,
Feb-72,
Mar-72,
Apr-72,
May-72,
Jun-72,
Jul-72,
Aug-72,
Sep-72,
Oct-72,
Nov-72,
Dec-72,
Jan-73,
Feb-73,
Mar-73,
Apr-73,
May-73,
Jun-73,
Jul-73,
Aug-73,
Sep-73,
Oct-73,
Nov-73,
Dec-73,
Jan-74,
Feb-74,
Mar-74,
Apr-74,
May-74,
Jun-74,
Jul-74,
Aug-74,
Sep-74,
Oct-74,
Nov-74,
Dec-74,
Jan-75,
Feb-75,
Mar-75,
Apr-75,
May-75,
Jun-75,
Jul-75,
Aug-75,
Sep-75,
Oct-75,
Nov-75,
Dec-75,
Jan-76,
Feb-76,
Mar-76,
Apr-76,
May-76,
Jun-76,
Jul-76,
Aug-76,
Sep-76,
Oct-76,
Nov-76,
Dec-76,
Jan-77,
Feb-77,
Mar-77,
Apr-77,
May-77,
Jun-77,
Jul-77,
Aug-77,
Sep-77,
Oct-77,
Nov-77,
Dec-77,
Jan-78,80241
Feb-78,67199
Mar-78,72326
Apr-78,69670
May-78,71326
Jun-78,58544
Jul-78,55733
Aug-78,60909
Sep-78,60136
Oct-78,56937
Nov-78,54283
Dec-78,59895
Jan-79,83132
Feb-79,71911
Mar-79,79164
Apr-79,73832
May-79,73264
Jun-79,60346
Jul-79,57967
Aug-79,61740
Sep-79,61137
Oct-79,58145
Nov-79,56459
Dec-79,59798
Jan-80,83368
Feb-80,79826
Mar-80,79226
Apr-80,72592
May-80,69305
Jun-80,57776
Jul-80,59581
Aug-80,65310
Sep-80,65279
Oct-80,61311
Nov-80,62125
Dec-80,62914
Jan-81,82333
Feb-81,77915
Mar-81,83017
Apr-81,77038
May-81,72365
Jun-81,61967
Jul-81,63209
Aug-81,67599
Sep-81,61945
Oct-81,60596
Nov-81,62098
Dec-81,65018
Jan-82,
Feb-82,
Mar-82,
Apr-82,
May-82,
Jun-82,
Jul-82,
Aug-82,
Sep-82,
Oct-82,
Nov-82,
Dec-82,
Jan-83,
Feb-83,
Mar-83,
Apr-83,
May-83,
Jun-83,
Jul-83,
Aug-83,
Sep-83,
Oct-83,
Nov-83,
Dec-83,
Jan-84,
Feb-84,
Mar-84,
Apr-84,
May-84,
Jun-84,
Jul-84,
Aug-84,
Sep-84,
Oct-84,
Nov-84,
Dec-84,
Jan-85,93578
Feb-85,78854
Mar-85,82345
Apr-85,67350
May-85,72706
Jun-85,69240
Jul-85,70916
Aug-85,69547
Sep-85,64724
Oct-85,61931
Nov-85,56451
Dec-85,57741
Jan-86,82496
Feb-86,70265
Mar-86,69622
Apr-86,62917
May-86,64430
Jun-86,63123
Jul-86,56663
Aug-86,58640
Sep-86,58924
Oct-86,60857
Nov-86,60250
Dec-86,57999
Jan-87,
Feb-87,
Mar-87,
Apr-87,
May-87,
Jun-87,
Jul-87,
Aug-87,
Sep-87,
Oct-87,
Nov-87,
Dec-87,
Jan-88,
Feb-88,
Mar-88,
Apr-88,
May-88,
Jun-88,
Jul-88,
Aug-88,
Sep-88,
Oct-88,
Nov-88,
Dec-88,
Jan-89,
Feb-89,
