stamp,Chile
Jan-67,23041
Feb-67,19480
Mar-67,20671
Apr-67,19172
May-67,20737
Jun-67,21825
Jul-67,22089
Aug-67,22534
Sep-67,23374
Oct-67,23375
Nov-67,22029
Dec-67,21402
Jan-68,21670
Feb-68,19866
Mar-68,20990
Apr-68,20696
May-68,20370
Jun-68,20319
Jul-68,20673
Aug-68,21193
Sep-68,21794
Oct-68,21753
Nov-68,20491
Dec-68,19119
Jan-69,20541
Feb-69,17850
Mar-69,20037
Apr-69,19580
May-69,20498
Jun-69,20394
Jul-69,20580
Aug-69,20035
Sep-69,20802
Oct-69,20750
Nov-69,19537
Dec-69,18945
Jan-70,20318
Feb-70,17373
Mar-70,19204
Apr-70,18169
May-70,19071
Jun-70,19494
Jul-70,19905
Aug-70,20731
Sep-70,22097
Oct-70,21628
Nov-70,20565
Dec-70,20114
Jan-71,21294
Feb-71,18054
Mar-71,17891
Apr-71,19186
May-71,19886
Jun-71,20470
Jul-71,20726
Aug-71,21998
Sep-71,22882
Oct-71,22931
Nov-71,21885
Dec-71,20767
Jan-72,22593
Feb-72,20169
Mar-72,21402
Apr-72,20240
May-72,20775
Jun-72,20838
Jul-72,21610
Aug-72,21914
Sep-72,22788
Oct-72,22733
Nov-72,20472
Dec-72,20563
Jan-73,22685
Feb-73,19378
Mar-73,21012
Apr-73,20114
May-73,20321
Jun-73,20402
Jul-73,21239
Aug-73,21584
Sep-73,22834
Oct-73,23035
Nov-73,21618
Dec-73,20815
Jan-74,22295
Feb-74,18987
Mar-74,20430
Apr-74,19853
May-74,20336
Jun-74,20124
Jul-74,20302
Aug-74,21104
Sep-74,22153
Oct-74,22797
Nov-74,21327
Dec-74,20754
Jan-75,22201
Feb-75,18347
Mar-75,19789
Apr-75,18968
May-75,19732
Jun-75,20078
Jul-75,20195
Aug-75,20197
Sep-75,20863
Oct-75,20681
Nov-75,18702
Dec-75,18213
Jan-76,20408
Feb-76,17905
Mar-76,19479
Apr-76,18550
May-76,19305
Jun-76,19082
Jul-76,19009
Aug-76,19050
Sep-76,20053
Oct-76,19920
Nov-76,18704
Dec-76,17766
Jan-77,18468
Feb-77,15497
Mar-77,18306
Apr-77,17967
May-77,18403
Jun-77,18670
Jul-77,18188
Aug-77,18367
Sep-77,19093
Oct-77,19172
Nov-77,17599
Dec-77,17142
Jan-78,18762
Feb-78,16291
Mar-78,18420
Apr-78,17440
May-78,18123
Jun-78,18151
Jul-78,18302
Aug-78,18725
Sep-78,19271
Oct-78,19481
Nov-78,18283
Dec-78,17332
Jan-79,19536
Feb-79,16540
Mar-79,18685
Apr-79,17866
May-79,18534
Jun-79,18820
Jul-79,18921
Aug-79,18862
Sep-79,19132
Oct-79,19702
Nov-79,18637
Dec-79,17863
Jan-80,20527
Feb-80,18200
Mar-80,19498
Apr-80,19071
May-80,19694
Jun-80,19936
Jul-80,20092
Aug-80,19447
Sep-80,20707
Oct-80,20548
Nov-80,18845
Dec-80,18097
Jan-81,20641
Feb-81,17608
Mar-81,20171
Apr-81,19728
May-81,21203
Jun-81,21640
Jul-81,21790
Aug-81,22159
Sep-81,23068
Oct-81,22827
Nov-81,20884
Dec-81,19850
Jan-82,22373
Feb-82,19658
Mar-82,21972
Apr-82,21313
May-82,21433
Jun-82,21856
Jul-82,21605
Aug-82,22161
Sep-82,22827
Oct-82,22078
Nov-82,20166
Dec-82,19061
Jan-83,21337
Feb-83,18598
Mar-83,20506
