stamp,France
Jan-67,
Feb-67,
Mar-67,
Apr-67,
May-67,
Jun-67,
Jul-67,
Aug-67,
Sep-67,
Oct-67,
Nov-67,
Dec-67,
Jan-68,
Feb-68,
Mar-68,
Apr-68,
May-68,
Jun-68,
Jul-68,
Aug-68,
Sep-68,
Oct-68,
Nov-68,
Dec-68,
Jan-69,70038
Feb-69,66166
Mar-69,74639
Apr-69,71803
May-69,76657
Jun-69,70640
Jul-69,72099
Aug-69,67451
Sep-69,68373
Oct-69,68560
Nov-69,64520
Dec-69,68565
Jan-70,68912
Feb-70,63903
Mar-70,73236
Apr-70,72944
May-70,76779
Jun-70,72914
Jul-70,74032
Aug-70,68778
Sep-70,66011
Oct-70,67725
Nov-70,68629
Dec-70,73920
Jan-71,73706
Feb-71,67477
Mar-71,75831
Apr-71,77298
May-71,80924
Jun-71,74656
Jul-71,75851
Aug-71,72070
Sep-71,71738
Oct-71,71070
Nov-71,67509
Dec-71,70517
Jan-72,
Feb-72,
Mar-72,
Apr-72,
May-72,
Jun-72,
Jul-72,
Aug-72,
Sep-72,
Oct-72,
Nov-72,
Dec-72,
Jan-73,
Feb-73,
Mar-73,
Apr-73,
May-73,
Jun-73,
Jul-73,
Aug-73,
Sep-73,
Oct-73,
Nov-73,
Dec-73,
Jan-74,68001
Feb-74,60558
Mar-74,69191
Apr-74,69756
May-74,73744
Jun-74,66795
Jul-74,70093
Aug-74,67391
Sep-74,65287
Oct-74,65011
Nov-74,60423
Dec-74,62967
Jan-75,62600
Feb-75,58062
Mar-75,65881
Apr-75,68355
May-75,71894
Jun-75,65199
Jul-75,66848
Aug-75,60598
Sep-75,56642
Oct-75,56394
Nov-75,54512
Dec-75,58080
Jan-76,57743
Feb-76,55628
Mar-76,61478
Apr-76,61643
May-76,65457
Jun-76,63948
Jul-76,63445
Aug-76,59794
Sep-76,59507
Oct-76,58434
Nov-76,55663
Dec-76,57655
Jan-77,58496
Feb-77,54481
Mar-77,62561
Apr-77,63785
May-77,71627
Jun-77,66698
Jul-77,66068
Aug-77,63412
Sep-77,60297
Oct-77,61441
Nov-77,56883
Dec-77,58995
Jan-78,59369
Feb-78,56160
Mar-78,63729
Apr-78,65767
May-78,70391
Jun-78,64352
Jul-78,64236
Aug-78,59429
Sep-78,58383
Oct-78,59840
Nov-78,55942
Dec-78,59464
Jan-79,59981
Feb-79,55932
Mar-79,63479
Apr-79,66351
May-79,70959
Jun-79,65426
Jul-79,66988
Aug-79,62044
Sep-79,60918
Oct-79,63552
Nov-79,59927
Dec-79,61797
Jan-80,63538
Feb-80,60354
Mar-80,67017
Apr-80,68442
May-80,73984
Jun-80,67896
Jul-80,71028
Aug-80,67362
Sep-80,65719
Oct-80,67243
Nov-80,62887
Dec-80,64906
Jan-81,64700
Feb-81,60530
Mar-81,68630
Apr-81,70480
May-81,72620
Jun-81,69720
Jul-81,71950
Aug-81,68310
Sep-81,65400
Oct-81,65200
Nov-81,62170
Dec-81,65970
Jan-82,64717
Feb-82,60701
Mar-82,69193
Apr-82,69541
May-82,72406
Jun-82,68944
Jul-82,70847
Aug-82,67083
Sep-82,65181
Oct-82,64998
Nov-82,61178
Dec-82,62434
Jan-83,61042
Feb-83,57134
Mar-83,62166
Apr-83,62754
May-83,68829
Jun-83,66146
Jul-83,68091
Aug-83,63518
Sep-83,61396
Oct-83,60295
Nov-83,57089
Dec-83,60065
Jan-84,60189
Feb-84,58353
Mar-84,63252
Apr-84,61144
May-84,66841
Jun-84,65570
Jul-84,68678
Aug-84,64674
Sep-84,62899
Oct-84,64887
Nov-84,61239
Dec-84,62213
Jan-85,63003
Feb-85,56278
Mar-85,64260
Apr-85,64679
May-85,70206
Jun-85,65603
Jul-85,69242
Aug-85,63905
Sep-85,62793
Oct-85,64195
Nov-85,60909
Dec-85,63358
Jan-86,63920
Feb-86,58689
Mar-86,65629
Apr-86,65781
May-86,70208
