stamp,United States of America
Jan-67,
Feb-67,
Mar-67,
Apr-67,
May-67,
Jun-67,
Jul-67,
Aug-67,
Sep-67,
Oct-67,
Nov-67,
Dec-67,
Jan-68,
Feb-68,
Mar-68,
Apr-68,
May-68,
Jun-68,
Jul-68,
Aug-68,
Sep-68,
Oct-68,
Nov-68,
Dec-68,
Jan-69,293940
Feb-69,270786
Mar-69,296550
Apr-69,282638
May-69,289124
Jun-69,291610
Jul-69,318356
Aug-69,321034
Sep-69,312620
Oct-69,311972
Nov-69,297054
Dec-69,314522
Jan-70,301870
Feb-70,281100
Mar-70,307068
Apr-70,286624
May-70,297648
Jun-70,302798
Jul-70,329904
Aug-70,330712
Sep-70,331830
Oct-70,323764
Nov-70,309012
Dec-70,329056
Jan-71,312190
Feb-71,283444
Mar-71,307718
Apr-71,285730
May-71,284332
Jun-71,284944
Jul-71,304912
Aug-71,312416
Sep-71,310822
Oct-71,302542
Nov-71,281112
Dec-71,285808
Jan-72,275912
Feb-72,262305
Mar-72,273054
Apr-72,254538
May-72,269698
Jun-72,259620
Jul-72,277654
Aug-72,287834
Sep-72,282333
Oct-72,275130
Nov-72,263987
Dec-72,276346
Jan-73,265775
Feb-73,241045
Mar-73,268849
Apr-73,247455
May-73,254545
Jun-73,254096
Jul-73,275163
Aug-73,281300
Sep-73,270738
Oct-73,265494
Nov-73,251973
Dec-73,260532
Jan-74,257455
Feb-74,236551
Mar-74,257951
Apr-74,246469
May-74,256986
Jun-74,250525
Jul-74,279630
Aug-74,286496
Sep-74,283718
Oct-74,280280
Nov-74,258011
Dec-74,265886
Jan-75,259173
Feb-75,238153
Mar-75,261608
Apr-75,250992
May-75,261572
Jun-75,255734
Jul-75,279744
Aug-75,279937
Sep-75,273750
Oct-75,267841
Nov-75,249907
Dec-75,265787
Jan-76,
Feb-76,
Mar-76,
Apr-76,
May-76,
Jun-76,
Jul-76,
Aug-76,
Sep-76,
Oct-76,
Nov-76,
Dec-76,
Jan-77,
Feb-77,
Mar-77,
Apr-77,
May-77,
Jun-77,
Jul-77,
Aug-77,
Sep-77,
Oct-77,
Nov-77,
Dec-77,
Jan-78,270695
Feb-78,249898
Mar-78,276584
Apr-78,254585
May-78,270818
Jun-78,270704
Jul-78,294704
Aug-78,302805
Sep-78,293903
Oct-78,288965
Nov-78,274679
Dec-78,284939
Jan-79,284463
Feb-79,260981
Mar-79,288637
Apr-79,271159
May-79,287126
Jun-79,282277
Jul-79,311157
Aug-79,318023
Sep-79,306666
Oct-79,304119
Nov-79,288271
Dec-79,291519
Jan-80,292009
Feb-80,279961
Mar-80,297309
Apr-80,286780
May-80,293687
Jun-80,293018
Jul-80,321836
Aug-80,323129
Sep-80,320536
Oct-80,311312
Nov-80,289580
Dec-80,303101
Jan-81,294632
Feb-81,273234
Mar-81,301691
Apr-81,285578
May-81,296323
Jun-81,297935
Jul-81,326182
Aug-81,329870
Sep-81,319971
Oct-81,309106
Nov-81,290843
Dec-81,303873
Jan-82,311000
Feb-82,281000
Mar-82,298000
Apr-82,287000
May-82,305000
Jun-82,302000
Jul-82,339000
Aug-82,323000
Sep-82,315000
Oct-82,323000
Nov-82,300000
Dec-82,320000
Jan-83,297750
Feb-83,276981
Mar-83,310928
Apr-83,293920
May-83,303224
Jun-83,303957
Jul-83,317969
Aug-83,323960
Sep-83,314468
Oct-83,305777
Nov-83,290944
Dec-83,299055
Jan-84,292200
Feb-84,281564
Mar-84,303970
Apr-84,285823
May-84,299395
Jun-84,298889
Jul-84,325516
Aug-84,335222
Sep-84,326454
Oct-84,321371
Nov-84,296816
Dec-84,301921
Jan-85,304073
Feb-85,281261
Mar-85,310679
Apr-85,301777
May-85,317596
Jun-85,308477
Jul-85,333484
Aug-85,336575
Sep-85,331283
Oct-85,322997
Nov-85,301551
Dec-85,310808
Jan-86,306183
Feb-86,282526
Mar-86,312394
Apr-86,304103
May-86,315975
